,No,HoMe,Away,Result,HoMe_SCore,Away_SCore
3381,1056,川崎,磐田,1,2,1
3382,1056,神戸,仙台,1,3,2
3383,1056,鹿島,鳥栖,0,0,0
3384,1056,名古屋,湘南,0,2,2
3385,1056,長崎,清水,0,4,4
3386,1056,浦和,F東京,1,3,2
3387,1056,柏,G大阪,1,4,2
3388,1056,横浜M,C大阪,2,1,2
3389,1056,富山,琉球,1,2,1
3390,1056,沼津,秋田,1,2,0
3391,1056,鳥取,藤枝,1,2,1
3392,1056,北九州,福島,0,0,0
3393,1059,バイエルンミュンヘン,１．FCニュルンベルク,1,3,0
3394,1059,シャルケ０４,ボルシアドルトムント,2,1,2
3395,1059,ＳCフライブルク,ＲＢライプツィヒ,1,3,0
3396,1059,VFＬヴォルフスブルク,ホッフェンハイム,0,2,2
3397,1059,ヘルタＢＳC,アイントラハトフランクフルト,1,1,0
3398,1059,バイヤーレヴァークーゼン,FCアウグスブルク,1,1,0
3399,1059,カーディフシティ,サウザンプトン,1,1,0
3400,1059,チェルシー,マンチェスターシティ,1,2,0
3401,1059,レスターシティ,トテナムホットスパー,2,0,2
3402,1059,ＡFCボーンマウス,リヴァプール,2,0,4
3403,1059,マンチェスターユナイテッド,フラム,1,4,1
3404,1059,アーセナル,ハダーズフィールドタウン,1,1,0
3405,1059,ウェストハムユナイテッド,クリスタルパレス,1,3,2
3406,1060,ホッフェンハイム,ボルシアメンヘングラードバッ,0,0,0
3407,1060,FCアウグスブルク,シャルケ０４,0,1,1
3408,1060,ハノーファー９６,バイエルンミュンヘン,2,0,4
3409,1060,フォルトナデュッセルドルフ,ＳCフライブルク,1,2,0
3410,1060,ボルシアドルトムント,ヴェルダーブレーメン,1,2,1
3411,1060,VFＢシュツットガルト,ヘルタＢＳC,1,2,1
3412,1060,マンチェスターシティ,エヴァートン,1,3,1
3413,1060,クリスタルパレス,レスターシティ,1,1,0
3414,1060,ハダーズフィールドタウン,ニューカッスルユナイテッド,2,0,1
3415,1060,トテナムホットスパー,バーンリーFC,1,1,0
3416,1060,ウルヴァーハンプトンワンダラ,ＡFCボーンマウス,1,2,0
3417,1060,ワトフォード,カーディフシティ,1,3,2
3418,1060,フラム,ウェストハムユナイテッド,2,0,2
3419,1062,バイヤーレヴァークーゼン,ヘルタＢＳC,1,3,1
3420,1062,ＲＢライプツィヒ,ヴェルダーブレーメン,1,3,2
3421,1062,ハノーファー９６,フォルトナデュッセルドルフ,2,0,1
3422,1062,１．FCニュルンベルク,ＳCフライブルク,2,0,1
3423,1062,アイントラハトフランクフルト,バイエルンミュンヘン,2,0,3
3424,1062,VFＢシュツットガルト,シャルケ０４,2,1,3
3425,1062,チェルシー,レスターシティ,2,0,1
3426,1062,ハダーズフィールドタウン,サウザンプトン,2,1,3
3427,1062,ニューカッスルユナイテッド,フラム,0,0,0
3428,1062,アーセナル,バーンリーFC,1,3,1
3429,1062,マンチェスターシティ,クリスタルパレス,2,2,3
3430,1062,ＡFCボーンマウス,ブライトンアンドホーヴアルビオ,1,2,0
3431,1062,カーディフシティ,マンチェスターユナイテッド,2,1,5
3432,1065,VFＢシュツットガルト,FＳVマインツ０５,2,2,3
3433,1065,アイントラハトフランクフルト,ＳCフライブルク,1,3,1
3434,1065,FCアウグスブルク,フォルトナデュッセルドルフ,2,1,2
3435,1065,ハノーファー９６,ヴェルダーブレーメン,2,0,1
3436,1065,ＲＢライプツィヒ,ボルシアドルトムント,2,0,1
3437,1065,バイヤーレヴァークーゼン,ボルシアメンヘングラードバッ,2,0,1
3438,1065,ウルヴァーハンプトンワンダラ,レスターシティ,1,4,3
3439,1065,ニューカッスルユナイテッド,カーディフシティ,1,3,0
3440,1065,サウザンプトン,エヴァートン,1,2,1
3441,1065,ＡFCボーンマウス,ウェストハムユナイテッド,1,2,0
3442,1065,アーセナル,チェルシー,1,2,0
3443,1065,リヴァプール,クリスタルパレス,1,4,3
3444,1065,マンチェスターユナイテッド,ブライトンアンドホーヴアルビオ,1,2,1
3445,1068,アイントラハトフランクフルト,ボルシアドルトムント,0,1,1
3446,1068,１．FCニュルンベルク,ヴェルダーブレーメン,0,1,1
3447,1068,ホッフェンハイム,フォルトナデュッセルドルフ,0,1,1
3448,1068,バイヤーレヴァークーゼン,バイエルンミュンヘン,1,3,1
3449,1068,シャルケ０４,ボルシアメンヘングラードバッ,2,0,2
3450,1068,ヘルタＢＳC,VFＬヴォルフスブルク,2,0,1
3451,1068,トテナムホットスパー,ニューカッスルユナイテッド,1,1,0
3452,1068,バーンリーFC,サウザンプトン,0,1,1
3453,1068,チェルシー,ハダーズフィールドタウン,1,5,0
3454,1068,ブライトンアンドホーヴアルビオ,ワトフォード,0,0,0
3455,1068,エヴァートン,ウルヴァーハンプトンワンダラ,2,1,3
3456,1068,クリスタルパレス,フラム,1,2,0
3457,1068,カーディフシティ,ＡFCボーンマウス,1,2,0
3458,1069,ボルシアドルトムント,ホッフェンハイム,0,3,3
3459,1069,ハノーファー９６,１．FCニュルンベルク,1,2,0
3460,1069,ＲＢライプツィヒ,アイントラハトフランクフルト,0,0,0
3461,1069,ボルシアメンヘングラードバッ,ヘルタＢＳC,2,0,3
3462,1069,バイエルンミュンヘン,シャルケ０４,1,3,1
3463,1069,ＳCフライブルク,VFＬヴォルフスブルク,0,3,3
3464,1069,ハダーズフィールドタウン,アーセナル,2,1,2
3465,1069,リヴァプール,ＡFCボーンマウス,1,3,0
3466,1069,サウザンプトン,カーディフシティ,2,1,2
3467,1069,フラム,マンチェスターユナイテッド,2,0,3
3468,1069,ワトフォード,エヴァートン,1,1,0
3469,1069,クリスタルパレス,ウェストハムユナイテッド,0,1,1
3470,1069,ブライトンアンドホーヴアルビオ,バーンリーFC,2,1,3
3471,1071,川崎,F東京,0,0,0
3472,1071,広島,清水,0,1,1
3473,1071,仙台,浦和,0,0,0
3474,1071,G大阪,横浜M,2,2,3
3475,1071,鹿島,大分,2,1,2
3476,1071,湘南,札幌,1,2,0
3477,1071,鳥栖,名古屋,2,0,4
3478,1071,磐田,松本,0,1,1
3479,1071,町田,東京V,1,1,0
3480,1071,長崎,横浜C,1,1,0
3481,1071,大宮,甲府,0,0,0
3482,1071,栃木,金沢,0,0,0
3483,1071,京都,新潟,0,0,0
3484,1073,横浜M,仙台,1,2,1
3485,1073,名古屋,C大阪,1,2,0
3486,1073,神戸,鳥栖,1,1,0
3487,1073,浦和,札幌,2,0,2
3488,1073,湘南,F東京,2,2,3
3489,1073,清水,G大阪,2,2,4
3490,1073,大分,松本,2,0,1
3491,1073,柏,町田,1,1,0
3492,1073,福岡,長崎,0,0,0
3493,1073,大宮,琉球,2,3,4
3494,1073,京都,鹿児島,1,2,1
3495,1073,水戸,栃木,1,3,0
3496,1073,横浜C,山形,2,0,2
3497,1075,札幌,清水,1,5,2
3498,1075,磐田,大分,2,1,2
3499,1075,G大阪,名古屋,2,2,3
3500,1075,鹿島,湘南,1,1,0
3501,1075,C大阪,広島,2,0,1
3502,1075,松本,浦和,2,0,1
3503,1075,仙台,神戸,2,1,3
3504,1075,F東京,鳥栖,1,2,0
3505,1075,横浜M,川崎,0,2,2
3506,1075,栃木,横浜C,2,0,1
3507,1075,徳島,大宮,2,0,1
3508,1075,東京V,金沢,1,2,1
3509,1075,新潟,柏,2,0,1
3510,1077,横浜C,新潟,2,1,2
3511,1077,F東京,名古屋,1,1,0
3512,1077,札幌,鹿島,2,1,3
3513,1077,神戸,清水,0,1,1
3514,1077,広島,松本,1,1,0
3515,1077,鳥栖,磐田,1,1,0
3516,1077,川崎,G大阪,2,0,1
3517,1077,C大阪,浦和,2,1,2
3518,1077,大分,横浜M,1,2,0
3519,1077,湘南,仙台,1,2,1
3520,1077,東京V,栃木,2,2,3
3521,1077,山形,大宮,1,1,0
3522,1077,甲府,長崎,1,2,0
3523,1078,大宮,水戸,0,1,1
3524,1078,横浜C,岐阜,1,2,0
3525,1078,甲府,金沢,0,1,1
3526,1078,柏,岡山,2,0,1
3527,1078,愛媛,長崎,2,0,1
3528,1078,新潟,福岡,2,0,1
3529,1078,鹿児島,町田,2,0,1
3530,1078,山形,琉球,0,1,1
3531,1078,山口,栃木,2,0,1
3532,1078,徳島,東京V,0,1,1
3533,1078,千葉,京都,0,1,1
3534,1078,八戸,Ｙ横浜,2,3,4
3535,1078,岩手,秋田,1,3,1
3536,1079,浦和,F東京,0,1,1
3537,1079,仙台,C大阪,2,0,2
3538,1079,名古屋,札幌,1,4,0
3539,1079,磐田,鹿島,0,1,1
3540,1079,G大阪,神戸,2,3,4
3541,1079,大分,広島,2,0,1
3542,1079,松本,川崎,2,0,2
3543,1079,清水,湘南,2,1,3
3544,1079,東京V,柏,1,2,0
3545,1079,金沢,横浜C,1,1,0
3546,1079,長崎,大宮,2,0,1
3547,1079,岡山,甲府,0,1,1
3548,1079,琉球,山口,0,2,2
3549,1082,札幌,大分,2,1,2
3550,1082,仙台,鳥栖,1,3,0
3551,1082,F東京,清水,1,2,1
3552,1082,広島,G大阪,1,3,0
3553,1082,湘南,磐田,2,0,2
3554,1082,松本,神戸,1,2,1
3555,1082,岡山,新潟,0,3,3
3556,1082,水戸,徳島,0,1,1
3557,1082,長崎,山口,0,2,2
3558,1082,栃木,京都,2,1,2
3559,1082,金沢,千葉,1,1,0
3560,1082,愛媛,岐阜,1,2,0
3561,1082,山形,東京V,1,2,1
3562,1084,C大阪,札幌,2,0,1
3563,1084,F東京,鹿島,1,3,1
3564,1084,磐田,清水,2,1,2
3565,1084,大分,仙台,1,2,0
3566,1084,神戸,広島,2,2,4
3567,1084,横浜M,名古屋,0,1,1
3568,1084,鳥栖,川崎,2,0,1
3569,1084,G大阪,浦和,2,0,1
3570,1084,湘南,松本,0,1,1
3571,1084,甲府,水戸,2,1,2
3572,1084,岐阜,長崎,2,0,4
3573,1084,千葉,岡山,0,0,0
3574,1084,徳島,愛媛,0,1,1
3575,1086,浦和,神戸,1,1,0
3576,1086,札幌,横浜M,1,3,0
3577,1086,名古屋,磐田,1,1,0
3578,1086,松本,鳥栖,1,1,0
3579,1086,清水,C大阪,1,1,0
3580,1086,鹿島,仙台,1,1,0
3581,1086,G大阪,大分,0,1,1
3582,1086,鹿児島,琉球,1,1,0
3583,1086,横浜C,千葉,1,3,1
3584,1086,愛媛,福岡,2,1,2
3585,1086,山形,山口,2,0,1
3586,1086,金沢,柏,0,0,0
3587,1086,岐阜,水戸,2,0,1
3588,1088,C大阪,大分,0,0,0
3589,1088,仙台,G大阪,1,2,1
3590,1088,横浜M,鹿島,1,2,1
3591,1088,F東京,松本,1,2,0
3592,1088,鳥栖,湘南,2,0,2
3593,1088,神戸,川崎,2,1,2
3594,1088,磐田,札幌,2,1,2
3595,1088,名古屋,広島,1,1,0
3596,1088,清水,浦和,2,0,2
3597,1088,長崎,鹿児島,0,0,0
3598,1088,愛媛,甲府,0,1,1
3599,1088,琉球,町田,0,1,1
3600,1088,千葉,大宮,0,0,0
3601,1090,札幌,神戸,1,2,1
3602,1090,松本,C大阪,2,0,2
3603,1090,湘南,名古屋,0,1,1
3604,1090,大分,鳥栖,1,2,0
3605,1090,G大阪,F東京,0,0,0
3606,1090,大宮,愛媛,1,2,1
3607,1090,東京V,長崎,1,2,1
3608,1090,山形,岡山,1,1,0
3609,1090,岐阜,琉球,1,2,1
3610,1090,徳島,栃木,1,3,2
3611,1090,新潟,山口,1,2,0
3612,1090,横浜C,京都,2,1,3
3613,1090,甲府,千葉,2,1,2
3614,1092,鳥栖,G大阪,1,3,1
3615,1092,C大阪,横浜M,1,3,0
3616,1092,松本,札幌,0,0,0
3617,1092,仙台,広島,1,2,1
3618,1092,清水,川崎,2,0,4
3619,1092,F東京,磐田,1,1,0
3620,1092,神戸,鹿島,2,0,1
3621,1092,名古屋,浦和,1,2,0
3622,1092,湘南,大分,2,0,1
3623,1092,長崎,新潟,1,3,2
3624,1092,東京V,福岡,1,3,2
3625,1092,琉球,水戸,1,1,0
3626,1092,横浜C,町田,0,1,1
3627,1094,横浜M,神戸,1,4,1
3628,1094,F東京,札幌,1,2,0
3629,1094,磐田,仙台,1,2,0
3630,1094,鹿島,松本,1,5,0
3631,1094,大分,清水,0,1,1
3632,1094,G大阪,C大阪,1,1,0
3633,1094,鹿児島,横浜C,2,1,2
3634,1094,水戸,柏,0,0,0
3635,1094,徳島,山形,0,1,1
3636,1094,福岡,甲府,2,0,3
3637,1094,大宮,栃木,0,0,0
3638,1094,新潟,愛媛,2,2,3
3639,1094,金沢,長崎,2,0,1
3640,1096,札幌,G大阪,0,0,0
3641,1096,清水,仙台,1,4,3
3642,1096,C大阪,F東京,1,1,0
3643,1096,浦和,広島,2,0,4
3644,1096,鳥栖,鹿島,1,1,0
3645,1096,横浜M,磐田,1,4,0
3646,1096,名古屋,松本,2,0,1
3647,1096,神戸,湘南,1,4,1
3648,1096,大分,川崎,2,0,1
3649,1096,京都,山口,1,2,0
3650,1096,東京V,千葉,0,1,1
3651,1096,琉球,新潟,1,2,1
3652,1096,鹿児島,福岡,2,0,1
3653,1097,仙台,名古屋,1,3,1
3654,1097,磐田,神戸,0,1,1
3655,1097,鳥栖,C大阪,2,0,1
3656,1097,松本,清水,0,1,1
3657,1097,川崎,浦和,0,1,1
3658,1097,札幌,広島,1,1,0
3659,1097,F東京,大分,1,3,1
3660,1097,G大阪,鹿島,0,1,1
3661,1097,岡山,愛媛,1,1,0
3662,1097,柏,岐阜,1,1,0
3663,1097,水戸,山口,2,0,1
3664,1097,福岡,大宮,0,1,1
3665,1097,山形,鹿児島,1,1,0
3666,1098,甲府,山形,0,2,2
3667,1098,長崎,岡山,2,2,3
3668,1098,岐阜,新潟,2,1,3
3669,1098,大宮,京都,1,3,1
3670,1098,徳島,町田,1,1,0
3671,1098,山口,横浜C,0,1,1
3672,1098,琉球,金沢,0,1,1
3673,1098,水戸,福岡,1,4,2
3674,1098,栃木,千葉,0,0,0
3675,1098,鹿児島,東京V,1,3,1
3676,1098,愛媛,柏,1,3,1
3677,1098,八戸,藤枝,2,0,3
3678,1098,群馬,鳥取,1,5,0
3679,1099,清水,横浜M,1,3,2
3680,1099,松本,仙台,2,0,1
3681,1099,大分,名古屋,0,1,1
3682,1099,浦和,鳥栖,1,2,1
3683,1099,F東京,神戸,2,0,1
3684,1099,磐田,G大阪,0,0,0
3685,1099,大宮,岐阜,1,2,1
3686,1099,千葉,鹿児島,1,2,1
3687,1099,山形,水戸,1,1,0
3688,1099,京都,琉球,0,2,2
3689,1099,甲府,東京V,2,0,2
3690,1099,金沢,愛媛,0,0,0
3691,1099,新潟,栃木,1,2,0
3692,1101,札幌,鳥栖,1,3,1
3693,1101,神戸,大分,0,2,2
3694,1101,横浜M,松本,1,1,0
3695,1101,G大阪,湘南,1,1,0
3696,1101,名古屋,清水,2,1,2
3697,1101,C大阪,磐田,1,2,0
3698,1101,仙台,F東京,1,2,0
3699,1101,琉球,甲府,2,2,5
3700,1101,町田,岡山,0,1,1
3701,1101,山口,岐阜,1,4,0
3702,1101,金沢,新潟,1,2,1
3703,1101,徳島,福岡,1,2,1
3704,1101,愛媛,京都,2,0,2
3705,1103,松本,G大阪,2,1,3
3706,1103,F東京,横浜M,1,4,2
3707,1103,神戸,名古屋,1,5,3
3708,1103,仙台,札幌,1,2,1
3709,1103,磐田,川崎,2,1,3
3710,1103,湘南,C大阪,2,0,2
3711,1103,鳥栖,清水,1,4,2
3712,1103,栃木,愛媛,2,1,2
3713,1103,京都,水戸,0,2,2
3714,1103,千葉,町田,2,1,2
3715,1103,横浜C,岡山,1,5,1
3716,1103,山形,柏,2,0,1
3717,1103,岐阜,東京V,2,1,2
3718,1104,千葉,岡山,2,0,3
3719,1104,福岡,鹿児島,0,1,1
3720,1104,徳島,愛媛,0,0,0
3721,1104,神戸,北九州,1,4,0
3722,1104,甲府,岐阜,0,2,2
3723,1104,G大阪,讃岐,1,7,1
3724,1104,水戸,京都,1,1,0
3725,1104,金沢,新潟,1,1,0
3726,1104,山口,琉球,1,2,1
3727,1104,山形,栃木,2,1,2
3728,1104,松本,八戸,0,1,1
3729,1104,清水,長野,1,1,0
3730,1104,鳥栖,熊本,0,1,1
3731,1105,清水,神戸,1,2,1
3732,1105,広島,C大阪,0,1,1
3733,1105,横浜M,大分,1,1,0
3734,1105,名古屋,湘南,2,0,2
3735,1105,F東京,G大阪,1,3,1
3736,1105,鹿島,磐田,1,2,0
3737,1105,浦和,仙台,1,1,0
3738,1105,札幌,松本,0,1,1
3739,1105,川崎,鳥栖,0,0,0
3740,1105,徳島,千葉,0,1,1
3741,1105,岡山,鹿児島,1,2,1
3742,1105,京都,長崎,1,1,0
3743,1105,柏,甲府,1,4,2
3744,1106,松本,磐田,2,0,1
3745,1106,仙台,鹿島,2,0,4
3746,1106,横浜M,浦和,1,3,1
3747,1106,G大阪,清水,1,1,0
3748,1106,大分,札幌,1,2,1
3749,1106,C大阪,名古屋,1,3,0
3750,1106,鳥栖,広島,2,0,2
3751,1106,F東京,川崎,2,0,3
3752,1106,湘南,神戸,1,3,1
3753,1106,甲府,愛媛,1,1,0
3754,1106,徳島,柏,2,1,2
3755,1106,琉球,岡山,2,0,2
3756,1106,町田,福岡,2,0,2
3757,1107,札幌,湘南,1,5,2
3758,1107,松本,広島,0,2,2
3759,1107,名古屋,G大阪,0,2,2
3760,1107,鹿島,鳥栖,1,2,1
3761,1107,C大阪,仙台,0,0,0
3762,1107,神戸,横浜M,2,0,2
3763,1107,清水,F東京,2,0,2
3764,1107,磐田,浦和,2,1,3
3765,1107,千葉,福岡,1,3,0
3766,1107,山口,新潟,0,2,2
3767,1107,横浜C,栃木,1,2,1
3768,1107,東京V,愛媛,1,3,2
3769,1107,京都,大宮,1,3,2
3770,1108,川崎,大分,1,3,1
3771,1108,栃木,柏,2,1,2
3772,1108,千葉,横浜C,2,1,3
3773,1108,京都,岐阜,1,2,1
3774,1108,山形,徳島,1,3,1
3775,1108,甲府,岡山,2,1,2
3776,1108,大宮,山口,1,1,0
3777,1108,東京V,町田,1,1,0
3778,1108,新潟,琉球,1,4,0
3779,1108,愛媛,金沢,2,0,2
3780,1108,鹿児島,長崎,2,1,2
3781,1108,福岡,水戸,0,1,1
3782,1108,秋田,岩手,1,3,1
3783,1110,広島,札幌,1,1,0
3784,1110,仙台,磐田,1,2,1
3785,1110,湘南,鹿島,1,3,2
3786,1110,浦和,名古屋,0,2,2
3787,1110,川崎,松本,0,0,0
3788,1110,F東京,C大阪,1,3,0
3789,1110,横浜M,清水,2,0,1
3790,1110,鳥栖,大分,0,2,2
3791,1110,金沢,栃木,0,1,1
3792,1110,愛媛,岡山,1,2,0
3793,1110,新潟,徳島,1,4,0
3794,1110,甲府,町田,1,3,0
3795,1110,京都,東京V,1,4,0
3796,1111,札幌,浦和,0,1,1
3797,1111,清水,松本,1,1,0
3798,1111,鹿島,横浜M,1,2,1
3799,1111,大分,神戸,0,1,1
3800,1111,G大阪,広島,0,1,1
3801,1111,F東京,仙台,1,1,0
3802,1111,名古屋,川崎,1,3,0
3803,1111,C大阪,鳥栖,2,1,2
3804,1111,磐田,湘南,2,2,3
3805,1111,岡山,大宮,2,0,1
3806,1111,横浜C,水戸,0,0,0
3807,1111,柏,山口,1,4,1
3808,1111,岐阜,福岡,2,0,2
3809,1113,清水,札幌,2,0,8
3810,1113,湘南,鳥栖,2,2,3
3811,1113,神戸,浦和,1,3,0
3812,1113,大分,鹿島,2,0,1
3813,1113,仙台,川崎,0,2,2
3814,1113,F東京,広島,2,0,1
3815,1113,横浜M,C大阪,2,1,2
3816,1113,松本,名古屋,0,1,1
3817,1113,G大阪,磐田,0,1,1
3818,1113,金沢,岐阜,1,2,1
3819,1113,水戸,京都,1,3,0
3820,1113,栃木,町田,0,0,0
3821,1113,大宮,千葉,1,2,1
3822,1115,札幌,F東京,0,1,1
3823,1115,名古屋,横浜M,2,1,5
3824,1115,仙台,湘南,0,1,1
3825,1115,磐田,C大阪,2,0,2
3826,1115,川崎,清水,0,2,2
3827,1115,水戸,東京V,2,1,2
3828,1115,千葉,甲府,2,0,3
3829,1115,横浜C,鹿児島,1,5,1
3830,1115,京都,福岡,0,1,1
3831,1115,徳島,琉球,1,6,1
3832,1115,新潟,金沢,2,2,3
3833,1115,岡山,町田,2,0,3
3834,1115,愛媛,大宮,1,5,1
3835,1117,甲府,大宮,1,1,0
3836,1117,横浜M,G大阪,1,3,1
3837,1117,松本,大分,0,0,0
3838,1117,神戸,札幌,2,2,3
3839,1117,鳥栖,仙台,1,2,1
3840,1117,C大阪,川崎,1,2,1
3841,1117,長崎,東京V,1,2,1
3842,1117,徳島,京都,1,2,1
3843,1117,町田,千葉,0,1,1
3844,1117,金沢,鹿児島,2,1,2
3845,1117,山形,横浜C,0,0,0
3846,1117,柏,新潟,0,1,1
3847,1117,福岡,愛媛,1,3,0
3848,1119,横浜C,甲府,1,3,2
3849,1119,F東京,G大阪,1,2,1
3850,1119,名古屋,川崎,0,2,2
3851,1119,鹿島,浦和,0,2,2
3852,1119,広島,札幌,0,1,1
3853,1119,柏,山形,2,3,4
3854,1119,新潟,千葉,1,2,1
3855,1119,岐阜,栃木,0,0,0
3856,1119,東京V,山口,1,4,0
3857,1119,愛媛,徳島,2,0,1
3858,1119,大宮,町田,0,1,1
3859,1119,長崎,福岡,1,1,0
3860,1119,岡山,京都,1,3,0
3861,1120,モルディブ,中国,2,0,5
3862,1120,ミャンマー,日本,2,0,2
3863,1120,香港,イラン,2,0,2
3864,1120,マレーシア,ＵＡＥ,2,1,2
3865,1120,カタール,インド,0,0,0
3866,1120,カンボジア,バーレーン,2,0,1
3867,1120,シンガポール,パレスチナ,1,2,1
3868,1120,インドネシア,タイ,2,0,3
3869,1120,トルクメニスタン,韓国,2,0,2
3870,1120,クウェート,オーストラリア,2,0,3
3871,1120,モンゴル,タジキスタン,2,0,1
3872,1120,台湾,ネパール,2,0,2
3873,1120,スリランカ,北朝鮮,2,0,1
3874,1121,札幌,仙台,2,1,3
3875,1121,大分,湘南,1,2,1
3876,1121,川崎,磐田,1,2,0
3877,1121,神戸,松本,1,2,1
3878,1121,鹿島,F東京,1,2,0
3879,1121,横浜M,広島,1,3,0
3880,1121,G大阪,鳥栖,1,1,0
3881,1121,新潟,東京V,0,1,1
3882,1121,岡山,岐阜,1,2,0
3883,1121,金沢,琉球,0,2,2
3884,1121,甲府,柏,0,1,1
3885,1121,栃木,福岡,2,0,1
3886,1121,京都,町田,1,2,0
3887,1125,C大阪,G大阪,1,3,1
3888,1125,鳥栖,浦和,0,3,3
3889,1125,鹿島,札幌,0,1,1
3890,1125,川崎,神戸,2,1,2
3891,1125,大分,磐田,2,1,2
3892,1125,仙台,横浜M,0,1,1
3893,1125,広島,名古屋,0,1,1
3894,1125,松本,F東京,0,0,0
3895,1125,湘南,清水,2,0,6
3896,1125,岡山,千葉,0,0,0
3897,1125,岐阜,横浜C,0,1,1
3898,1125,新潟,水戸,1,3,0
3899,1125,徳島,金沢,1,2,0
3900,1126,名古屋,大分,0,1,1
3901,1126,鳥栖,F東京,1,2,1
3902,1126,仙台,松本,2,0,1
3903,1126,磐田,横浜M,2,0,2
3904,1126,広島,神戸,1,6,2
3905,1126,C大阪,鹿島,2,0,1
3906,1126,浦和,清水,1,2,1
3907,1126,湘南,川崎,2,0,5
3908,1126,新潟,鹿児島,1,6,0
3909,1126,福岡,琉球,2,0,1
3910,1126,岐阜,山口,0,1,1
3911,1126,栃木,徳島,0,1,1
3912,1126,横浜C,柏,1,1,0
3913,1128,オーストラリア,ネパール,1,5,0
3914,1128,日本,モンゴル,1,6,0
3915,1128,韓国,スリランカ,1,8,0
3916,1128,イラン,カンボジア,1,14,0
3917,1128,ＵＡＥ,インドネシア,1,5,0
3918,1128,中国,グアム,1,7,0
3919,1128,バングラデシュ,カタール,2,0,2
3920,1128,ベトナム,マレーシア,1,1,0
3921,1128,ウズベキスタン,イエメン,1,5,0
3922,1128,レバノン,トルクメニスタン,1,2,1
3923,1128,オマーン,アフガニスタン,1,3,0
3924,1128,キルギス,ミャンマー,1,7,0
3925,1128,サウジアラビア,シンガポール,1,3,0
3926,1129,札幌,G大阪,1,1,0
3927,1129,鹿島,川崎,0,0,0
3928,1129,大宮,福岡,*,0,0
3929,1129,長崎,千葉,2,0,2
3930,1129,愛媛,新潟,2,0,1
3931,1129,山口,京都,1,1,0
3932,1129,柏,水戸,*,0,0
3933,1129,琉球,東京V,2,1,5
3934,1129,町田,鹿児島,0,0,0
3935,1129,山形,岐阜,*,0,0
3936,1129,徳島,岡山,1,2,1
3937,1129,横浜C,金沢,*,0,0
3938,1129,甲府,栃木,0,1,1
3939,1130,北朝鮮,韓国,0,0,0
3940,1130,タジキスタン,日本,2,0,3
3941,1130,インドネシア,ベトナム,2,1,3
3942,1130,パレスチナ,サウジアラビア,0,0,0
3943,1130,バーレーン,イラン,1,1,0
3944,1130,カンボジア,イラク,2,0,4
3945,1130,シンガポール,ウズベキスタン,2,1,3
3946,1130,フィリピン,中国,0,0,0
3947,1130,スリランカ,レバノン,2,0,3
3948,1130,カタール,オマーン,1,2,1
3949,1130,モンゴル,キルギス,2,1,2
3950,1130,インド,バングラデシュ,0,1,1
3951,1130,ヨルダン,ネパール,1,3,0
3952,1131,神戸,F東京,2,1,3
3953,1131,横浜M,湘南,1,3,1
3954,1131,清水,広島,2,1,2
3955,1131,名古屋,仙台,2,0,2
3956,1131,G大阪,川崎,0,2,2
3957,1131,磐田,鳥栖,0,2,2
3958,1131,水戸,町田,0,1,1
3959,1131,金沢,山形,1,1,0
3960,1131,岐阜,愛媛,1,2,0
3961,1131,大宮,徳島,2,2,3
3962,1131,福岡,新潟,1,2,1
3963,1131,京都,横浜C,1,3,0
3964,1131,東京V,甲府,1,2,1
3965,1133,山形,愛媛,1,3,0
3966,1133,徳島,水戸,1,2,1
3967,1133,甲府,鹿児島,0,1,1
3968,1133,長崎,金沢,2,2,4
3969,1133,町田,岐阜,0,0,0
3970,1133,琉球,大宮,2,2,3
3971,1133,横浜C,東京V,1,2,1
3972,1133,山口,千葉,1,3,2
3973,1133,岡山,栃木,1,1,0
3974,1133,新潟,京都,1,3,1
3975,1133,柏,福岡,1,4,0
3976,1133,相模原,藤枝,0,1,1
3977,1133,群馬,富山,0,0,0
3978,1134,神戸,仙台,1,2,0
3979,1134,清水,磐田,2,1,2
3980,1134,札幌,名古屋,1,3,0
3981,1134,鳥栖,横浜M,2,1,2
3982,1134,C大阪,松本,0,1,1
3983,1134,川崎,広島,1,2,1
3984,1134,大分,F東京,2,0,2
3985,1134,湘南,G大阪,2,0,3
3986,1134,山口,琉球,2,1,2
3987,1134,愛媛,町田,1,2,0
3988,1134,鹿児島,岡山,0,0,0
3989,1134,大宮,柏,1,2,1
3990,1134,水戸,山形,1,3,1
3991,1135,横浜M,札幌,1,4,2
3992,1135,名古屋,神戸,1,3,0
3993,1135,C大阪,湘南,1,1,0
3994,1135,仙台,清水,1,2,0
3995,1135,大分,G大阪,1,2,1
3996,1135,磐田,F東京,2,0,1
3997,1135,鳥栖,松本,1,1,0
3998,1135,山形,長崎,2,1,3
3999,1135,町田,山口,1,1,0
4000,1135,千葉,東京V,0,0,0
4001,1135,柏,鹿児島,1,3,0
4002,1135,栃木,大宮,0,0,0
4003,1135,金沢,岡山,0,1,1
4004,1136,ミャンマー,タジキスタン,1,4,3
4005,1136,トルクメニスタン,北朝鮮,1,3,1
4006,1136,キルギス,日本,2,0,2
4007,1136,マレーシア,タイ,1,2,1
4008,1136,ヨルダン,オーストラリア,2,0,1
4009,1136,香港,バーレーン,0,0,0
4010,1136,ベトナム,ＵＡＥ,1,1,0
4011,1136,シリア,中国,1,2,1
4012,1136,イエメン,パレスチナ,1,1,0
