,HomeTeam,Awayteam,LotteryNo,league,section,year,mon,day,boteHome,boteDraw,boteAway,home_rank,home_point,home_win,home_draw,home_lose,home_win_onHome,home_draw_onHome,home_lose_onHome,home_getScore,home_AvegetScore,home_lossScore,home_AvelossScore,home_shootNum,home_shootedNum,home_getCount_0,home_getCount_1,home_getCount_2,home_getCount_3,home_lossCount_0,home_lossCount_1,home_lossCount_2,home_lossCount_3,home_RecentScore,home_RecentAveScore,home_RecentLoss,home_RecentAveLoss,away_rank,away_point,away_win,away_draw,away_lose,away_win_onAway,away_draw_onAway,away_lose_onAway,away_getScore,away_AvegetScore,away_lossScore,away_AvelossScore,away_shootNum,away_shootedNum,away_getCount_0,away_getCount_1,away_getCount_2,away_getCount_3,away_lossCount_0,away_lossCount_1,away_lossCount_2,away_lossCount_3,away_RecentScore,away_RecentAveScore,away_RecentLoss,away_RecentAveLoss
15,鹿島,大分,1191,J1,19,2020,09,27,80,12,8,4,33,10,3,7,4,3,2,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1,3,1,12,25,7,4,9,12,25,7,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1,2,0.67
16,柏,横浜M,1191,J1,19,2020,09,27,39,22,39,5,30,9,3,7,4,1,5,35,1.8399999999999999,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1,4,1.33,7,33,10,3,8,7,33,10,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3,3,1
17,神戸,札幌,1191,J1,19,2020,09,26,59,21,20,11,26,6,8,7,3,4,5,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3,5,1.67,13,17,4,5,11,13,17,4,23,1.15,40,2,240,233,7,5,6,2,4,6,3,7,0,0,6,2
18,仙台,C大阪,1191,J1,19,2020,09,27,11,12,77,17,11,2,5,11,0,3,6,18,1,35,1.94,189,234,4,10,4,0,2,6,4,6,3,1,7,2.33,2,42,13,3,4,2,42,13,30,1.05,20,1,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2
19,広島,G大阪,1191,J1,19,2020,09,27,41,25,34,10,25,7,4,7,3,2,3,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1,9,32,10,2,6,9,32,10,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67
20,湘南,川崎,1191,J1,19,2020,09,27,6,7,87,18,9,2,3,13,1,2,6,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0,5,1.67,1,53,17,2,1,1,53,17,59,2.95,18,0.09,320,139,2,2,3,13,7,8,5,0,7,2.33,2,0.67
21,新潟,甲府,1191,J2,22,2020,09,26,33,33,34,8,31,7,10,5,4,5,3,30,1.3599999999999999,27,1.23,223,160,4,11,2,5,7,9,2,4,1,0.33,2,0.67,6,35,8,11,3,6,35,8,31,1.41,25,1.1400000000000001,168,235,4,8,7,3,7,9,3,3,2,0.67,2,0.67
22,山形,磐田,1191,J2,22,2020,09,27,19,26,55,17,26,6,8,8,4,3,4,21,0.95,22,1,222,186,9,9,1,3,8,9,3,2,2,0.67,4,1.33,7,30,7,9,6,7,30,7,32,1.45,25,1.1400000000000001,244,176,7,3,10,2,6,8,7,1,3,1,5,1.67
23,愛媛,金沢,1191,J2,22,2020,09,26,20,28,52,22,18,4,6,12,2,3,7,21,0.95,29,1.32,157,225,10,7,2,3,6,7,6,3,0,0,1,0.33,13,28,7,7,8,13,28,7,31,1.41,31,1.41,228,202,7,8,3,4,6,8,4,4,1,0.33,2,0.67
24,札幌,柏,1190,J1,18,2020,09,23,20,17,63,13,17,4,5,11,1,3,6,23,1.15,40,2,240,233,7,5,6,2,4,6,3,7,0,0,6,2,6,30,9,3,7,6,30,9,35,1.8399999999999999,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1,4,1.33
25,鹿島,湘南,1190,J1,18,2020,09,23,84,9,7,5,33,10,3,7,4,3,2,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1,3,1,18,9,2,3,13,18,9,2,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0,5,1.67
26,川崎,横浜C,1190,J1,18,2020,09,23,88,6,6,1,53,17,2,1,9,1,0,59,2.95,18,0.09,320,139,2,2,3,13,7,8,5,0,7,2.33,2,0.67,14,20,6,2,11,14,20,6,25,1.32,37,1.95,163,227,5,8,2,4,2,4,9,4,4,1.33,4,1.33
27,G大阪,名古屋,1190,J1,18,2020,09,23,31,26,43,9,32,10,2,6,4,0,5,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67,4,33,10,3,5,4,33,10,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2,4,1.33
28,清水,浦和,1190,J1,18,2020,09,23,21,19,60,16,12,3,3,14,2,0,8,26,1.03,45,2.25,203,248,4,11,1,4,2,3,7,8,5,1.67,5,1.67,8,30,9,3,7,8,30,9,26,1.37,34,1.79,172,240,6,4,6,3,4,5,5,5,2,0.67,6,2
29,F東京,C大阪,1190,J1,18,2020,09,23,35,27,38,3,38,11,5,5,6,0,4,35,1.67,27,1.29,216,207,3,6,7,5,8,5,3,5,3,1,3,1,2,42,13,3,4,2,42,13,30,1.05,20,1,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2
30,神戸,鳥栖,1190,J1,18,2020,09,23,59,23,18,12,26,6,8,7,3,4,5,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3,5,1.67,15,17,4,5,7,15,17,4,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33
31,大分,広島,1190,J1,18,2020,09,23,29,28,43,11,25,7,4,9,3,3,4,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1,2,0.67,10,25,7,4,7,10,25,7,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1
32,横浜M,仙台,1190,J1,18,2020,09,23,82,10,8,7,33,10,3,8,6,1,4,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3,3,1,17,11,2,5,11,17,11,2,18,1,35,1.94,189,234,4,10,4,0,2,6,4,6,3,1,7,2.33
33,岡山,山形,1190,J2,21,2020,09,23,35,36,29,17,27,7,6,9,5,3,5,20,0.91,23,1.05,181,227,7,11,3,1,6,9,7,0,5,1.67,4,1.33,16,26,6,8,8,16,26,6,21,0.95,22,1,222,186,9,9,1,3,8,9,3,2,2,0.67,4,1.33
34,愛媛,新潟,1190,J2,21,2020,09,23,15,20,65,21,18,4,6,12,2,3,7,21,0.95,29,1.32,157,225,10,7,2,3,6,7,6,3,0,0,1,0.33,9,31,7,10,5,9,31,7,30,1.3599999999999999,27,1.23,223,160,4,11,2,5,7,9,2,4,1,0.33,2,0.67
35,北九州,水戸,1190,J2,21,2020,09,23,71,16,13,1,44,14,2,6,8,1,3,35,1.5899999999999999,23,1.05,226,234,6,2,11,3,7,9,4,2,2,0.67,4,1.33,15,30,8,6,8,15,30,8,37,1.6800000000000002,33,1.05,269,238,5,5,6,6,5,5,8,4,8,2.67,4,1.33
36,札幌,G大阪,1189,J1,17,2020,09,19,34,21,45,13,17,4,5,11,1,3,6,23,1.15,40,2,240,233,7,5,6,2,4,6,3,7,0,0,6,2,9,32,10,2,6,9,32,10,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67
37,鳥栖,横浜M,1189,J1,17,2020,09,19,21,18,61,15,17,4,5,7,3,3,3,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33,8,33,10,3,8,8,33,10,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3,3,1
38,C大阪,鹿島,1189,J1,17,2020,09,19,40,22,38,2,42,13,3,4,5,2,2,30,1.05,20,1,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2,5,33,10,3,7,5,33,10,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1,3,1
39,湘南,清水,1189,J1,17,2020,09,19,51,22,27,17,9,2,3,13,1,2,6,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0,5,1.67,18,12,3,3,14,18,12,3,26,1.03,45,2.25,203,248,4,11,1,4,2,3,7,8,5,1.67,5,1.67
40,柏,広島,1189,J1,17,2020,09,19,58,18,24,7,30,9,3,7,4,1,5,35,1.8399999999999999,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1,4,1.33,10,25,7,4,7,10,25,7,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1
41,名古屋,神戸,1189,J1,17,2020,09,19,54,22,24,4,33,10,3,5,6,1,2,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2,4,1.33,11,26,6,8,7,11,26,6,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3,5,1.67
42,大分,横浜C,1189,J1,17,2020,09,20,48,25,27,12,25,7,4,9,3,3,4,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1,2,0.67,14,20,6,2,11,14,20,6,25,1.32,37,1.95,163,227,5,8,2,4,2,4,9,4,4,1.33,4,1.33
43,浦和,川崎,1189,J1,17,2020,09,20,12,10,78,6,30,9,3,7,3,3,4,26,1.37,34,1.79,172,240,6,4,6,3,4,5,5,5,2,0.67,6,2,1,53,17,2,1,1,53,17,59,2.95,18,0.09,320,139,2,2,3,13,7,8,5,0,7,2.33,2,0.67
44,F東京,仙台,1189,J1,17,2020,09,20,76,12,12,3,38,11,5,5,6,0,4,35,1.67,27,1.29,216,207,3,6,7,5,8,5,3,5,3,1,3,1,16,11,2,5,11,16,11,2,18,1,35,1.94,189,234,4,10,4,0,2,6,4,6,3,1,7,2.33
45,松本,長崎,1189,J2,20,2020,09,19,18,24,58,18,20,4,8,10,3,2,4,21,0.95,36,1.6400000000000001,207,227,7,9,6,0,4,7,7,4,4,1.33,9,3,2,40,11,7,4,2,40,11,30,1.3599999999999999,23,1.05,217,205,4,8,8,2,7,9,4,2,4,1.33,6,2
46,新潟,徳島,1189,J2,20,2020,09,19,31,27,42,8,31,7,10,5,4,5,3,30,1.3599999999999999,27,1.23,223,160,4,11,2,5,7,9,2,4,1,0.33,2,0.67,3,44,13,5,4,3,44,13,36,1.6400000000000001,18,0.82,214,180,3,9,4,6,9,10,2,1,4,1.33,2,0.67
47,甲府,京都,1189,J2,20,2020,09,19,45,28,27,4,35,8,11,3,6,4,1,31,1.41,25,1.1400000000000001,168,235,4,8,7,3,7,9,3,3,2,0.67,2,0.67,6,34,9,7,6,6,34,9,28,1.27,24,1.09,210,198,7,5,8,2,8,7,5,2,5,1.67,6,2
48,清水,鹿島,1187,J1,16,2020,09,12,11,11,78,17,12,3,3,14,2,0,8,26,1.03,45,2.25,203,248,4,11,1,4,2,3,7,8,5,1.67,5,1.67,6,33,10,3,7,6,33,10,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1,3,1
49,神戸,F東京,1187,J1,16,2020,09,12,24,23,53,11,26,6,8,7,3,4,5,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3,5,1.67,3,38,11,5,5,3,38,11,35,1.67,27,1.29,216,207,3,6,7,5,8,5,3,5,3,1,3,1
50,仙台,大分,1187,J1,16,2020,09,13,42,31,27,16,11,2,5,11,0,3,6,18,1,35,1.94,189,234,4,10,4,0,2,6,4,6,3,1,7,2.33,14,25,7,4,9,14,25,7,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1,2,0.67
51,鳥栖,柏,1187,J1,16,2020,09,13,15,17,68,15,17,4,5,7,3,3,3,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33,5,30,9,3,7,5,30,9,35,1.8399999999999999,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1,4,1.33
52,横浜M,C大阪,1187,J1,16,2020,09,13,30,21,49,10,33,10,3,8,6,1,4,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3,3,1,2,42,13,3,4,2,42,13,30,1.05,20,1,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2
53,札幌,浦和,1187,J1,16,2020,09,13,28,26,46,12,17,4,5,11,1,3,6,23,1.15,40,2,240,233,7,5,6,2,4,6,3,7,0,0,6,2,7,30,9,3,7,7,30,9,26,1.37,34,1.79,172,240,6,4,6,3,4,5,5,5,2,0.67,6,2
54,横浜C,名古屋,1187,J1,16,2020,09,13,13,13,74,13,20,6,2,11,3,1,5,25,1.32,37,1.95,163,227,5,8,2,4,2,4,9,4,4,1.33,4,1.33,4,33,10,3,5,4,33,10,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2,4,1.33
55,川崎,広島,1187,J1,16,2020,09,13,77,12,11,1,53,17,2,1,9,1,0,59,2.95,18,0.09,320,139,2,2,3,13,7,8,5,0,7,2.33,2,0.67,9,25,7,4,7,9,25,7,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1
56,G大阪,湘南,1187,J1,16,2020,09,13,81,11,8,8,32,10,2,6,4,0,5,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67,18,9,2,3,13,18,9,2,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0,5,1.67
57,徳島,金沢,1187,J2,19,2020,09,12,67,20,13,3,44,13,5,4,5,4,2,36,1.6400000000000001,18,0.82,214,180,3,9,4,6,9,10,2,1,4,1.33,2,0.67,11,28,7,7,8,11,28,7,31,1.41,31,1.41,228,202,7,8,3,4,6,8,4,4,1,0.33,2,0.67
58,岡山,甲府,1187,J2,19,2020,09,13,17,21,62,17,27,7,6,9,5,3,5,20,0.91,23,1.05,181,227,7,11,3,1,6,9,7,0,5,1.67,4,1.33,4,35,8,11,3,4,35,8,31,1.41,25,1.1400000000000001,168,235,4,8,7,3,7,9,3,3,2,0.67,2,0.67
59,水戸,山口,1187,J2,19,2020,09,13,58,26,16,15,30,8,6,8,4,3,5,37,1.6800000000000002,33,1.05,269,238,5,5,6,6,5,5,8,4,8,2.67,4,1.33,21,19,5,4,13,21,19,5,23,1.05,39,1.77,230,257,7,9,5,1,3,5,10,4,5,1.67,4,1.33
60,川崎,神戸,1186,J1,15,2020,09,09,81,10,9,1,53,17,2,1,9,1,0,59,2.95,18,0.09,320,139,2,2,3,13,7,8,5,0,7,2.33,2,0.67,10,26,6,8,7,10,26,6,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3,5,1.67
61,広島,清水,1186,J1,15,2020,09,09,70,17,13,11,25,7,4,7,3,2,3,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1,17,12,3,3,14,17,12,3,26,1.03,45,2.25,203,248,4,11,1,4,2,3,7,8,5,1.67,5,1.67
62,大分,湘南,1186,J1,15,2020,09,09,49,30,21,14,25,7,4,9,3,3,4,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1,2,0.67,18,9,2,3,13,18,9,2,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0,5,1.67
63,鹿島,仙台,1186,J1,15,2020,09,09,79,12,9,9,33,10,3,7,4,3,2,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1,3,1,15,11,2,5,11,15,11,2,18,1,35,1.94,189,234,4,10,4,0,2,6,4,6,3,1,7,2.33
64,浦和,鳥栖,1186,J1,15,2020,09,09,58,22,20,7,30,9,3,7,3,3,4,26,1.37,34,1.79,172,240,6,4,6,3,4,5,5,5,2,0.67,6,2,16,17,4,5,7,16,17,4,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33
65,柏,G大阪,1186,J1,15,2020,09,09,42,21,37,5,30,9,3,7,4,1,5,35,1.8399999999999999,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1,4,1.33,6,32,10,2,6,6,32,10,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67
66,F東京,横浜C,1186,J1,15,2020,09,09,83,9,8,3,38,11,5,5,6,0,4,35,1.67,27,1.29,216,207,3,6,7,5,8,5,3,5,3,1,3,1,13,20,6,2,11,13,20,6,25,1.32,37,1.95,163,227,5,8,2,4,2,4,9,4,4,1.33,4,1.33
67,名古屋,横浜M,1186,J1,15,2020,09,09,35,25,40,4,33,10,3,5,6,1,2,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2,4,1.33,8,33,10,3,8,8,33,10,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3,3,1
68,C大阪,札幌,1186,J1,15,2020,09,09,77,13,10,2,42,13,3,4,5,2,2,30,1.05,20,1,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2,12,17,4,5,11,12,17,4,23,1.15,40,2,240,233,7,5,6,2,4,6,3,7,0,0,6,2
69,磐田,水戸,1186,J2,18,2020,09,09,70,17,13,5,30,7,9,6,5,4,3,32,1.45,25,1.1400000000000001,244,176,7,3,10,2,6,8,7,1,3,1,5,1.67,16,30,8,6,8,16,30,8,37,1.6800000000000002,33,1.05,269,238,5,5,6,6,5,5,8,4,8,2.67,4,1.33
70,栃木,徳島,1186,J2,18,2020,09,09,19,25,56,8,33,9,6,7,3,5,3,22,1,20,0.91,209,157,8,7,6,1,8,9,4,1,7,2.33,5,1.67,3,44,13,5,4,3,44,13,36,1.6400000000000001,18,0.82,214,180,3,9,4,6,9,10,2,1,4,1.33,2,0.67
71,甲府,長崎,1186,J2,18,2020,09,09,29,26,45,4,35,8,11,3,6,4,1,31,1.41,25,1.1400000000000001,168,235,4,8,7,3,7,9,3,3,2,0.67,2,0.67,1,40,11,7,4,1,40,11,30,1.3599999999999999,23,1.05,217,205,4,8,8,2,7,9,4,2,4,1.33,6,2
72,札幌,広島,1185,J1,14,2020,09,05,35,28,37,12,17,4,5,11,1,3,6,23,1.15,40,2,240,233,7,5,6,2,4,6,3,7,0,0,6,2,11,25,7,4,7,11,25,7,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1
73,横浜M,川崎,1185,J1,14,2020,09,05,20,16,64,6,33,10,3,8,6,1,4,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3,3,1,1,53,17,2,1,1,53,17,59,2.95,18,0.09,320,139,2,2,3,13,7,8,5,0,7,2.33,2,0.67
74,名古屋,鹿島,1185,J1,14,2020,09,05,41,22,37,4,33,10,3,5,6,1,2,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2,4,1.33,9,33,10,3,7,9,33,10,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1,3,1
75,仙台,G大阪,1185,J1,14,2020,09,05,21,22,57,15,11,2,5,11,0,3,6,18,1,35,1.94,189,234,4,10,4,0,2,6,4,6,3,1,7,2.33,8,32,10,2,6,8,32,10,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67
76,大分,F東京,1185,J1,14,2020,09,05,12,16,72,14,25,7,4,9,3,3,4,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1,2,0.67,3,38,11,5,5,3,38,11,35,1.67,27,1.29,216,207,3,6,7,5,8,5,3,5,3,1,3,1
77,清水,柏,1185,J1,14,2020,09,05,19,14,67,16,12,3,3,14,2,0,8,26,1.03,45,2.25,203,248,4,11,1,4,2,3,7,8,5,1.67,5,1.67,7,30,9,3,7,7,30,9,35,1.8399999999999999,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1,4,1.33
78,湘南,神戸,1185,J1,14,2020,09,05,17,16,67,18,9,2,3,13,1,2,6,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0,5,1.67,10,26,6,8,7,10,26,6,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3,5,1.67
79,鳥栖,横浜C,1185,J1,14,2020,09,05,25,26,49,17,17,4,5,7,3,3,3,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33,13,20,6,2,11,13,20,6,25,1.32,37,1.95,163,227,5,8,2,4,2,4,9,4,4,1.33,4,1.33
80,C大阪,浦和,1185,J1,14,2020,09,05,54,21,25,2,42,13,3,4,5,2,2,30,1.05,20,1,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2,5,30,9,3,7,5,30,9,26,1.37,34,1.79,172,240,6,4,6,3,4,5,5,5,2,0.67,6,2
81,金沢,長崎,1185,J2,17,2020,09,05,20,17,63,8,28,7,7,8,3,5,3,31,1.41,31,1.41,228,202,7,8,3,4,6,8,4,4,1,0.33,2,0.67,1,40,11,7,4,1,40,11,30,1.3599999999999999,23,1.05,217,205,4,8,8,2,7,9,4,2,4,1.33,6,2
82,徳島,群馬,1185,J2,17,2020,09,05,81,11,8,3,44,13,5,4,5,4,2,36,1.6400000000000001,18,0.82,214,180,3,9,4,6,9,10,2,1,4,1.33,2,0.67,21,19,6,1,15,21,19,6,18,0.82,39,1.77,162,162,11,6,3,2,2,8,7,5,2,0.67,4,1.33
83,京都,千葉,1185,J2,17,2020,09,05,46,29,25,13,34,9,7,6,7,2,1,28,1.27,24,1.09,210,198,7,5,8,2,8,7,5,2,5,1.67,6,2,14,29,9,2,11,14,29,9,28,1.27,26,1.18,195,235,5,8,7,2,8,4,8,2,4,1.33,3,1
84,金沢,琉球,1184,J2,16,2020,09,02,66,19,15,11,28,7,7,8,3,5,3,31,1.41,31,1.41,228,202,7,8,3,4,6,8,4,4,1,0.33,2,0.67,18,23,6,5,11,18,23,6,32,1.45,38,1.73,218,227,5,10,4,3,3,9,5,5,9,3,4,1.33
85,山形,山口,1184,J2,16,2020,09,02,75,13,12,9,26,6,8,8,4,3,4,21,0.95,22,1,222,186,9,9,1,3,8,9,3,2,2,0.67,4,1.33,22,19,5,4,13,22,19,5,23,1.05,39,1.77,230,257,7,9,5,1,3,5,10,4,5,1.67,4,1.33
86,大宮,京都,1184,J2,16,2020,09,02,38,30,32,13,29,8,5,9,4,3,3,21,0.95,26,1.18,199,213,7,11,3,1,7,9,4,2,5,1.67,4,1.33,10,34,9,7,6,10,34,9,28,1.27,24,1.09,210,198,7,5,8,2,8,7,5,2,5,1.67,6,2
